PlayerID,PName,Height(cm),Matches Played,Overall Win%,Top 100 Win %,Top 30 Win %,First Serve %,First Serve Win %,BPSave %,BPConv %,Aces/Match,DF/Match,Future Top 30
102776,Andrew Ilie,180.0,50,0.48,0.4,0.35714285714285715,0.5285313982839088,0.7068814462324117,0.6077481840193705,0.36220472440944884,5.84,3.5,False
103602,Fernando Gonzalez,183.0,50,0.54,0.4375,0.4444444444444444,0.5832741465666228,0.7143613650279383,0.5920245398773006,0.4423676012461059,6.46,6.98,True
102821,Cecil Mamiit,173.0,50,0.38,0.2857142857142857,0.14285714285714285,0.5638131741486696,0.6836184322692632,0.610738255033557,0.37228260869565216,3.98,2.8,False
103387,Paradorn Srichaphan,185.0,50,0.36,0.24242424242424243,0.14285714285714285,0.5552297170902404,0.703386814815652,0.5822454308093995,0.3870967741935484,5.26,4.22,True
102925,Justin Gimelstob,196.0,50,0.4,0.34615384615384615,0.25,0.570183701974756,0.7367962080566614,0.5714285714285714,0.3601190476190476,7.18,4.88,False
103181,Jiri Vanek,185.0,50,0.38,0.28125,0.2,0.5486624186004323,0.6954438989301857,0.5920177383592018,0.3937007874015748,6.04,2.9,False
102834,Paul Goldstein,178.0,50,0.44,0.3333333333333333,0.08333333333333333,0.6208556306820736,0.6361471521677076,0.5765550239234449,0.40816326530612246,2.36,2.18,False
103454,Nicolas Massu,183.0,50,0.48,0.35294117647058826,0.16666666666666666,0.5507458022541506,0.704383213367431,0.5652173913043478,0.44525547445255476,4.44,3.0,True
103188,Michael Russell,173.0,50,0.26,0.16666666666666666,0.16666666666666666,0.6822865915606829,0.6149596054541746,0.5448577680525164,0.3917808219178082,2.4,3.12,False
102880,Alexander Popp,201.0,50,0.4,0.3142857142857143,0.2,0.6067507526057174,0.6720684129468273,0.5681818181818182,0.4177545691906005,4.02,5.22,False
102987,Andre Sa,185.0,50,0.4,0.3870967741935484,0.375,0.5899143755458505,0.6515204244677207,0.5588235294117647,0.4099722991689751,2.88,2.84,False
103082,Markus Hantschk,188.0,50,0.44,0.391304347826087,0.2,0.5685777449487072,0.6770348655946321,0.6052631578947368,0.39244186046511625,4.14,2.36,False
103598,Xavier Malisse,185.0,50,0.62,0.5294117647058824,0.3888888888888889,0.5726586689760494,0.728093345415353,0.5974842767295597,0.4088541666666667,5.8,2.38,True
102887,Ramon Delgado,185.0,50,0.38,0.35135135135135137,0.1,0.6121512360358878,0.6650152602943971,0.5172413793103449,0.36712328767123287,6.14,3.1,False
102998,Jan Michael Gambill,190.0,50,0.58,0.5384615384615384,0.4444444444444444,0.5568217441853138,0.7907450037817806,0.6591760299625468,0.37575757575757573,12.8,3.82,True
103420,Michal Tabara,175.0,50,0.48,0.3333333333333333,0.2222222222222222,0.5413429463937274,0.6663028839401651,0.5728643216080402,0.43380281690140843,2.88,3.48,False
102911,Andrei Stoliarov,178.0,50,0.42,0.3333333333333333,0.3,0.47731014783867926,0.693595295934916,0.5617128463476071,0.3743455497382199,5.02,4.54,False
103240,Kevin Kim,180.0,50,0.42,0.3,0.08333333333333333,0.5938940178920334,0.7066488238347384,0.5558823529411765,0.3581267217630854,6.56,2.64,False
102905,Stefan Koubek,175.0,50,0.5,0.4857142857142857,0.08333333333333333,0.5999136726151734,0.6680068866857518,0.5406162464985994,0.4,4.24,3.64,True
102338,Yevgeny Kafelnikov,190.0,50,0.74,0.725,0.6923076923076923,0.5624534836334949,0.7374867654409595,0.6540697674418605,0.43842364532019706,5.8,4.2,True
102446,Andrei Medvedev,193.0,50,0.48,0.38095238095238093,0.3888888888888889,0.578410651992777,0.688698537699206,0.6328293736501079,0.3817733990147783,5.56,3.32,True
102563,Thomas Johansson,180.0,50,0.5,0.48717948717948717,0.35714285714285715,0.4816851098448026,0.7791200094131279,0.6271186440677966,0.4318840579710145,8.88,3.88,True
103498,Marat Safin,193.0,50,0.8,0.7804878048780488,0.8666666666666667,0.5197594959684274,0.7807301904866768,0.608058608058608,0.39849624060150374,10.32,1.94,True
103151,Mariano Zabaleta,183.0,50,0.44,0.38461538461538464,0.35294117647058826,0.5109748585449744,0.7051949963651316,0.5785340314136126,0.3763157894736842,5.08,3.68,True
102450,Tim Henman,185.0,50,0.74,0.7209302325581395,0.6363636363636364,0.5504288483866691,0.782689143755595,0.7066246056782335,0.38694638694638694,7.6,4.4,True
102783,Rainer Schuettler,180.0,50,0.48,0.4,0.15384615384615385,0.5800636997978309,0.703432609407547,0.5934959349593496,0.4225721784776903,3.58,3.2,True
103507,Juan Carlos Ferrero,183.0,50,0.58,0.5681818181818182,0.5789473684210527,0.5811867200514965,0.6801575815066597,0.5972602739726027,0.40512820512820513,3.72,3.72,True
103096,Arnaud Clement,173.0,50,0.58,0.5348837209302325,0.5217391304347826,0.5836507121321987,0.6944801114012426,0.5811965811965812,0.4071246819338422,5.7,3.22,True
103252,Alberto Martin,175.0,50,0.42,0.2857142857142857,0.18181818181818182,0.632864627505843,0.6346903183025843,0.5384615384615384,0.41954022988505746,1.94,3.2,False
102344,Karol Kucera,188.0,50,0.54,0.475,0.391304347826087,0.5245212831837974,0.7421628711535148,0.584045584045584,0.43478260869565216,6.22,5.14,True
102562,Jiri Novak,190.0,50,0.48,0.48717948717948717,0.4375,0.6528625941976617,0.6658902400541475,0.5683060109289617,0.3756345177664975,3.48,1.8,True
102358,Thomas Enqvist,190.0,50,0.72,0.6976744186046512,0.6363636363636364,0.5385419702026896,0.7919704388342462,0.6573426573426573,0.35944700460829493,9.06,5.06,True
