PlayerID,PName,Height(cm),Matches Played,Overall Win%,Top 100 Win %,Top 30 Win %,First Serve %,First Serve Win %,BPSave %,BPConv %,Aces/Match,DF/Match,Future Top 30
102776,Andrew Ilie,180.0,40,0.45,0.3793103448275862,0.2727272727272727,0.5191414441375246,0.7146812281930882,0.6144200626959248,0.34615384615384615,6.15,3.525,False
103602,Fernando Gonzalez,183.0,40,0.5,0.36,0.2857142857142857,0.5857534099835341,0.7111037926304029,0.608540925266904,0.4216417910447761,6.4,7.35,True
102821,Cecil Mamiit,173.0,40,0.35,0.2857142857142857,0.08333333333333333,0.5615897964164933,0.6718817300744929,0.5888888888888889,0.3745819397993311,3.65,2.85,False
103387,Paradorn Srichaphan,185.0,40,0.325,0.16,0.16666666666666666,0.5472784106629618,0.6814669121420718,0.5815384615384616,0.383399209486166,5.3,4.525,True
102925,Justin Gimelstob,196.0,40,0.425,0.391304347826087,0.2727272727272727,0.5834615308310704,0.7350522426333514,0.5857605177993528,0.3494809688581315,7.9,4.8,False
103181,Jiri Vanek,185.0,40,0.375,0.28,0.25,0.5474417859671247,0.6971133546842971,0.5994694960212201,0.3925233644859813,6.1,3.15,False
102834,Paul Goldstein,178.0,40,0.475,0.36,0.1111111111111111,0.6318004148295714,0.6447159325042352,0.5907692307692308,0.3951367781155015,2.325,2.275,False
103454,Nicolas Massu,183.0,40,0.525,0.4,0.125,0.5478373261868232,0.7238211756474948,0.5811965811965812,0.452914798206278,4.4,2.975,True
103188,Michael Russell,173.0,40,0.25,0.13793103448275862,0.0,0.6837439495294444,0.6255031995291221,0.5546218487394958,0.38461538461538464,2.475,3.3,False
102880,Alexander Popp,201.0,40,0.425,0.35714285714285715,0.2222222222222222,0.6052064931555938,0.6794925967457897,0.6005586592178771,0.4025157232704403,4.35,5.175,False
102987,Andre Sa,185.0,40,0.375,0.375,0.4,0.6010392973578932,0.6477587473376067,0.5625,0.4067796610169492,2.5,2.575,False
103082,Markus Hantschk,188.0,40,0.475,0.42105263157894735,0.0,0.5701835698929621,0.6773850089287753,0.6261127596439169,0.425,3.9,2.4,False
103598,Xavier Malisse,185.0,40,0.6,0.5,0.38461538461538464,0.5811175416698102,0.7256313130199571,0.610909090909091,0.4072948328267477,6.075,2.5,True
